address_or_intersection,asset_name,asset_status,asset_type,availability_confidence,availability_status,caveat,confidence_level,exact_impressions_confirmed,exact_price_confirmed,family_anchor_proximity,hgl_relevance_score,impressions_status,last_observed_date,media_format,ooh_asset_id,operator_if_known,preschool_school_proximity,pricing_status,recommended_use,retrieval_date,source_name,source_url,static_or_digital,transit_proximity,vendor_owner,verification_needed,zipcode,longitude,latitude
5 AV,MN01792,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0755,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.979668,40.755194
E 42 St,MN01796,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0756,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.974857,40.751056
E 42 St,MN01797,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0757,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.974869,40.750846
W 14 ST,MN01801,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0758,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-74.00582,40.74127
W 14 St,MN01806,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0759,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-74.00732,40.74188
HUDSON ST,MN01807,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0760,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-74.00547,40.73967
Madison Av,MN01810,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0761,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.97777,40.75557
Madison Av,MN01811,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0762,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.97698,40.7558
Madison Av,MN01812,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0763,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.97578,40.75745
Madison Av,MN01813,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0764,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.97568,40.75754
LAFAYETTE ST,MN01817,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0765,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.99149,40.72968
E 50 ST,MN01862,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0766,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.976885,40.758353
5 Av,MN01875,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0767,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.98206,40.75208
E 23 ST,MN0188,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0768,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.984959,40.739708
E 23 ST,MN0192,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0769,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.987655,40.740843
2 AV,MN0194,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0770,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.973989,40.747613
MADISON AV,MN0195,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0771,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.980403,40.751106
E 14 ST,MN0201,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0772,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.976031,40.728692
E 34 ST,MN0203,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0773,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.981816,40.747359
E 23 ST,MN0204,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0774,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.986767,40.740463
E 23 ST,MN0205,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0775,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.985993,40.739915
6 AV,MN0215,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0776,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.990025,40.746493
6 AV,MN0217,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0777,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.987366,40.750147
6 AV,MN0220,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0778,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.983142,40.755954
6 AV,MN0221,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0779,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.98241,40.756937
7 AV,MN0229,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0780,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.992286,40.748914
W 34 ST,MN0230,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0781,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.993118,40.751943
W 42 ST,MN0231,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0782,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.990146,40.757497
W 34 ST,MN0253,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0783,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.995951,40.753138
W 23 ST,MN0254,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0784,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-74.000761,40.746156
10 AV,MN0255,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0785,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-74.002928,40.749159
W 34 ST,MN0256,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0786,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.998876,40.754361
E 14 ST,MN0403,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0787,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.982279,40.731317
E 14 ST,MN0404,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0788,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.978289,40.729637
E 14 ST,MN0404A,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0789,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.978365,40.729474
HUDSON ST,MN0408,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0790,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-74.006532,40.73153
AV C,MN0410,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0791,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.974696,40.733062
6 AV,MN0606,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0792,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-74.003227,40.727123
W 10 ST,MN0612,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0793,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-74.008751,40.73332
HUDSON ST,MN0618,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0794,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-74.006239,40.733339
AV C,MN0627,Network bookable,Bus shelters,Medium-High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,"Public location only; no availability, price, or impression guarantee.",Medium-High,False,False,,7.1,Vendor confirmation required,,Bus shelter street furniture panel,OOH-V4-0795,JCDecaux,,Quote/vendor confirmation required,Street-level parent/caregiver awareness; verify shelter face and format.,2026-06-11,NYC Open Data Bus Stop Shelters t4f2-8md7,https://data.cityofnewyork.us/Transportation/Bus-Stop-Shelters/t4f2-8md7,Static/digital status must be verified,,JCDecaux / NYC street furniture network,"Confirm unit status, dates, price, creative specs, and impressions with JCDecaux/vendor.",buffer/unknown,-73.976337,40.727301
